City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Cururupu,BR,83.89,broken clouds,-1.83,-44.87,Pousada Través'cia
353,Osmena,PH,80.94,light rain,10.52,119.93,Arjemarkyza Lodge
356,Wajir,KE,85.39,clear sky,1.75,40.06,Al- Amin lodge
362,Salalah,OM,78.8,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
363,Isla Mujeres,MX,86.0,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
375,Oistins,BB,86.0,shower rain,13.07,-59.53,Butterfly Beach Hotel
377,Hamilton,US,75.99,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
378,Umm Lajj,SA,82.62,clear sky,25.02,37.27,Moon light Furnished Units
383,San Juan,AR,76.96,overcast clouds,-31.54,-68.54,Hotel Provincial
384,Mirpur Sakro,PK,78.8,clear sky,24.55,67.63,Fish Lake
385,Saint-Joseph,RE,75.2,overcast clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
390,Korampallam,IN,80.89,overcast clouds,8.77,78.1,Regency Tuticorin by GRT Hotels
395,Jalu,LY,75.92,clear sky,29.03,21.55,Jalu Hotel
396,Camocim,BR,83.84,overcast clouds,-2.9,-40.84,Hotel Ilha do Amor
397,Ugoofaaru,MV,82.72,light rain,5.67,73.0,Ungoofaaru Inn
398,Iralaya,HN,85.8,clear sky,15.0,-83.23,Iglesia morava renovada
404,Kirakira,SB,79.5,few clouds,-10.45,161.92,SanBiz Lodge
408,Kutum,SD,80.87,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
409,Tautira,PF,78.8,shower rain,-17.73,-149.15,Pension Oaoa
410,Cam Ranh,VN,78.8,moderate rain,11.92,109.16,OYO 598 Peony Hotel
411,Lindsay,US,84.0,clear sky,36.2,-119.09,Lindsay Inn
417,Cumpas,MX,89.42,overcast clouds,29.98,-109.78,Hotel La Palma
418,Agadez,NE,85.93,clear sky,19.75,10.25,
421,Puerto Ayacucho,VE,89.64,light rain,5.66,-67.62,Posada Turistica Manapiare
430,Joacaba,BR,82.78,overcast clouds,-27.18,-51.5,Hotel Jaraguá
434,Oranjestad,AW,87.8,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
435,Vaitape,PF,79.32,light rain,-16.52,-151.75,Conrad Bora Bora Nui
436,Victor Harbor,AU,75.0,light rain,-35.57,138.62,Apollon Motor Inn
438,Les Cayes,HT,84.83,broken clouds,18.2,-73.75,Villa Orphee
439,King City,US,89.01,clear sky,36.21,-121.13,Days Inn by Wyndham King City
440,Kloulklubed,PW,77.0,heavy intensity rain,7.04,134.26,Storyboard Beach Resort
441,Jalcocotan,MX,82.4,scattered clouds,21.47,-105.12,"Hotel ""Doña Celia"""
443,Pithapuram,IN,78.8,mist,17.12,82.27,Dhanamjay
448,Sao Jose Da Coroa Grande,BR,78.06,broken clouds,-8.9,-35.15,Crôa Mares Hotel
450,Itoman,JP,77.0,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
452,Sao Filipe,CV,79.79,light rain,14.9,-24.5,Tortuga B&B
456,Cayenne,GF,87.8,clear sky,4.93,-52.33,Hôtel Le Dronmi
461,Mana,GF,84.43,clear sky,5.66,-53.78,LE SAMANA
463,Daura,NG,84.78,scattered clouds,11.55,11.41,
466,Pauini,BR,82.83,broken clouds,-7.71,-66.98,Casa do Kiwliks
473,Buala,SB,79.38,broken clouds,-8.14,159.59,Maringe Lagoon Lodge
480,Sarangani,PH,82.08,overcast clouds,5.4,125.46,Ballistic Islet
485,Champerico,GT,89.6,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
487,Tecoanapa,MX,86.61,few clouds,16.52,-98.75,Hotel Manglares
491,Am Timan,TD,79.5,broken clouds,11.03,20.28,Palais du chef Canton Salamt
494,Sola,VU,80.67,overcast clouds,-13.88,167.55,Leumerus Bungalows
497,Matara,LK,78.3,light rain,5.95,80.54,Amaloh Boutique Resort
503,Salinopolis,BR,82.96,broken clouds,-0.61,-47.36,Hotel Salinópolis
504,Franca,BR,86.68,heavy intensity rain,-20.54,-47.4,Imperador Palace Hotel
512,Bara,NG,80.01,overcast clouds,10.37,10.73,
513,Monrovia,LR,78.8,few clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
514,Los Amates,GT,84.92,light rain,15.27,-89.1,Las Basas
515,Sabang,ID,82.54,overcast clouds,5.89,95.32,Hotel Citra
519,Upington,ZA,78.8,clear sky,-28.45,21.26,River Place Manor
524,Mundo Nuevo,MX,83.57,overcast clouds,18.7,-95.5,
534,Non Sang,TH,78.8,light rain,16.87,102.57,ดวงใจ หวาน หวาน
536,Sikasso,ML,80.42,clear sky,10.92,-7.0,
540,Mindelo,CV,82.4,scattered clouds,16.89,-24.98,Hotel Gaudi
542,West Bay,KY,84.99,scattered clouds,19.37,-81.42,Calypso Cove
545,Lincoln,US,77.0,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
549,Camargo,MX,86.54,overcast clouds,27.67,-105.17,Hotel Santa Fe
556,Morondava,MG,76.69,clear sky,-20.28,44.28,La Case Bambou
557,Barber,CW,89.6,few clouds,12.28,-69.07,Cats & Pets
558,Orange Cove,US,84.99,clear sky,36.62,-119.31,
559,Praia,CV,78.8,broken clouds,14.92,-23.51,LT Aparthotel
564,Tsumeb,,76.32,clear sky,-19.23,17.72,TeaterHuis Guest House
568,Chapada Dos Guimaraes,BR,78.8,heavy intensity rain,-15.46,-55.75,Pousada Morro Dos Ventos
577,Meulaboh,ID,78.1,overcast clouds,4.14,96.13,Kost Pria
582,Pangai,TO,80.6,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
583,Padang,ID,78.22,overcast clouds,-0.95,100.35,Mercure Padang
584,Aswan,EG,87.22,clear sky,24.09,32.91,Nuba Nile
585,San Pedro,PH,77.0,moderate rain,14.35,121.02,OYO 412 Viewfort Venue
586,Banamba,ML,84.9,few clouds,13.55,-7.45,Kassela de Banamba
590,Hambantota,LK,79.84,broken clouds,6.12,81.12,Bungalow 63
594,Barra Patuca,HN,84.9,light rain,15.8,-84.28,
601,Tasquillo,MX,76.46,scattered clouds,20.55,-99.3,HOTEL TASQUILLO
603,Kralendijk,BQ,89.6,scattered clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
604,Mabaruma,GY,85.84,overcast clouds,8.2,-59.78,
605,Augusto Correa,BR,83.86,scattered clouds,-1.02,-46.63,Fazenda Bacuri
613,The Valley,AI,87.8,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
614,Ormond Beach,US,84.2,scattered clouds,29.29,-81.06,Royal Floridian Resort By Spinnaker Resorts
615,Bell Ville,AR,86.0,light rain,-32.63,-62.69,Hotel Central
619,Auki,SB,77.99,overcast clouds,-8.77,160.7,Auki Motel
625,Calama,CL,75.2,clear sky,-22.47,-68.93,Park Hotel Calama
627,Kavaratti,IN,81.95,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
630,Morgan City,US,84.2,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
631,Pedernales,DO,87.8,few clouds,18.04,-71.74,Hotel Costa Marina
634,Port Blair,IN,80.53,moderate rain,11.67,92.75,Fortune Resort Bay Island
635,Mahajanga,MG,80.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
640,Trairi,BR,81.45,broken clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
643,Aitape,PG,77.72,overcast clouds,-3.14,142.35,
648,Hwange,ZW,78.19,clear sky,-18.37,26.5,Hwange Colliery Guest House
650,Rincon,US,84.0,broken clouds,32.3,-81.24,Bent tree subdivision
662,Ormara,PK,82.18,clear sky,25.21,64.64,
665,Dzaoudzi,YT,78.8,clear sky,-12.79,45.27,Le Rocher
666,Nabire,ID,76.44,light rain,-3.37,135.48,Hotel Nusantara Nabire
668,Namatanai,PG,77.68,broken clouds,-3.67,152.43,Namatanai Hotel
671,Moron,AR,80.6,broken clouds,-34.65,-58.62,Hotel Morón
676,Dhekiajuli,IN,75.29,clear sky,26.7,92.5,LOKD Girls' Hostel
678,Alugan,PH,76.75,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
682,Colorado Springs,US,84.2,scattered clouds,38.83,-104.82,"The Antlers, A Wyndham Hotel"
683,Marsh Harbour,BS,82.54,broken clouds,26.54,-77.06,Abaco Beach Resort
684,Bull Savanna,JM,82.87,clear sky,17.89,-77.59,Big Red's
685,Jiwani,PK,77.29,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
686,Matamoros,MX,86.0,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
687,Porto Novo,BJ,78.8,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
688,Jatibonico,CU,86.45,overcast clouds,21.94,-79.17,"Hostel ""Los Tomasos"""
689,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
691,Pangkalanbuun,ID,75.04,moderate rain,-2.68,111.62,Grand Kecubung Hotel
