City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Hobyo,SO,2020-10-12 19:26:58,5.35,48.53,79.72,80,0,12.15
62,Bandarbeyla,SO,2020-10-12 19:26:58,9.49,50.81,78.93,83,6,7.94
63,Polunochnoye,RU,2020-10-12 19:26:59,60.87,60.42,42.03,94,100,2.91
64,Sur,OM,2020-10-12 19:26:59,22.57,59.53,80.87,62,0,8.66
65,Batemans Bay,AU,2020-10-12 19:26:59,-35.72,150.18,55.99,97,48,3.0
66,Ancud,CL,2020-10-12 19:26:59,-41.87,-73.82,62.01,58,53,8.05
67,Carnarvon,AU,2020-10-12 19:26:05,-24.87,113.63,68.0,94,90,17.22
68,Ushuaia,AR,2020-10-12 19:26:59,-54.8,-68.3,44.6,75,75,5.82
69,Upernavik,GL,2020-10-12 19:26:59,72.79,-56.15,31.5,97,14,8.88
70,Makungu,TZ,2020-10-12 19:26:59,-8.73,35.28,67.17,78,95,7.9
71,Kodiak,US,2020-10-12 19:26:59,57.79,-152.41,33.8,86,75,5.82
72,Bonavista,CA,2020-10-12 19:26:59,48.65,-53.11,50.0,64,91,11.99
73,Ponta Do Sol,PT,2020-10-12 19:27:00,32.67,-17.1,71.6,68,20,16.11
74,Prieska,ZA,2020-10-12 19:27:00,-29.66,22.75,65.3,20,56,4.5
75,Husavik,IS,2020-10-12 19:27:00,66.04,-17.34,41.0,75,0,10.29
76,Puerto Ayora,EC,2020-10-12 19:23:54,-0.74,-90.35,80.6,61,20,20.8
77,Balikpapan,ID,2020-10-12 19:24:51,-1.27,116.83,77.56,88,100,7.0
78,Kokstad,ZA,2020-10-12 19:27:00,-30.55,29.42,50.83,79,1,3.49
79,Vila Velha,BR,2020-10-12 19:27:01,-20.33,-40.29,69.8,88,90,4.7
80,Taldan,RU,2020-10-12 19:27:02,53.67,124.8,24.01,93,100,9.86
81,Saint-Philippe,RE,2020-10-12 19:27:02,-21.36,55.77,72.0,73,9,4.7
82,Pisco,PE,2020-10-12 19:27:02,-13.7,-76.22,69.8,73,8,9.17
83,Bethel,US,2020-10-12 19:27:02,41.37,-73.41,54.0,71,90,14.99
84,Wangjing,IN,2020-10-12 19:27:02,24.6,94.03,67.62,90,1,0.72
85,Alice Springs,AU,2020-10-12 19:23:44,-23.7,133.88,59.0,41,0,4.7
86,Sayyan,YE,2020-10-12 19:27:02,15.17,44.32,59.13,34,0,7.18
87,Road Town,VG,2020-10-12 19:27:02,18.42,-64.62,87.8,70,25,10.29
88,Xuanhua,CN,2020-10-12 19:27:02,40.61,115.04,45.9,50,0,4.43
89,Norman Wells,CA,2020-10-12 19:27:03,65.28,-126.83,26.6,73,75,10.29
90,Albany,US,2020-10-12 19:27:03,42.6,-73.97,57.0,53,92,9.69
91,Qaanaaq,GL,2020-10-12 19:27:03,77.48,-69.36,34.29,88,100,4.76
92,Bilma,NE,2020-10-12 19:27:03,18.69,12.92,87.55,15,0,4.16
93,Yala,TH,2020-10-12 19:27:03,6.33,101.25,73.65,92,100,2.66
94,Coihaique,CL,2020-10-12 19:27:03,-45.58,-72.07,51.8,66,90,6.93
95,Dikson,RU,2020-10-12 19:27:03,73.51,80.55,33.21,86,100,18.12
96,Shelburne,CA,2020-10-12 19:27:03,44.08,-80.2,60.8,77,90,14.99
97,San Patricio,US,2020-10-12 19:27:04,28.02,-97.52,93.0,59,75,11.41
98,Mabaruma,GY,2020-10-12 19:27:04,8.2,-59.78,84.07,81,100,4.03
99,Airai,TL,2020-10-12 19:27:04,-8.93,125.41,59.18,89,12,3.22
100,Saldanha,ZA,2020-10-12 19:27:04,-33.01,17.94,60.8,77,79,8.05
101,Dhidhdhoo,MV,2020-10-12 19:27:04,6.88,73.1,83.08,76,100,23.15
102,Pangody,RU,2020-10-12 19:27:04,65.85,74.49,34.48,91,20,10.29
103,Rantepao,ID,2020-10-12 19:27:04,-2.97,119.9,64.58,85,96,1.81
104,Kimbe,PG,2020-10-12 19:27:05,-5.55,150.14,75.29,86,28,4.63
105,Marawi,PH,2020-10-12 19:27:05,8.0,124.29,73.99,94,100,4.0
106,Jever,DE,2020-10-12 19:27:05,53.58,7.9,50.0,93,40,2.24
107,Vila Franca Do Campo,PT,2020-10-12 19:27:05,37.72,-25.43,68.0,68,75,8.05
108,Sao Filipe,CV,2020-10-12 19:27:05,14.9,-24.5,78.57,76,27,11.74
109,Lorengau,PG,2020-10-12 19:27:05,-2.02,147.27,81.48,78,100,6.67
110,Gavrilov Posad,RU,2020-10-12 19:27:05,56.56,40.12,49.39,94,100,6.44
111,Fatehpur Sikri,IN,2020-10-12 19:27:05,27.1,77.67,81.46,33,0,5.03
112,El Alto,PE,2020-10-12 19:27:05,-4.27,-81.21,78.8,65,17,14.99
113,Rizoma,GR,2020-10-12 19:27:06,39.66,21.73,71.01,77,75,9.17
114,Port Alfred,ZA,2020-10-12 19:27:06,-33.59,26.89,61.48,75,19,12.68
115,Kharan,PK,2020-10-12 19:27:06,28.58,65.42,58.26,29,0,13.67
116,Aguimes,ES,2020-10-12 19:27:06,27.91,-15.45,79.0,73,40,16.11
117,Yanam,IN,2020-10-12 19:27:06,16.73,82.22,76.77,98,100,7.67
118,Fengzhen,CN,2020-10-12 19:27:06,40.44,113.15,37.99,65,0,2.3
119,Geraldton,AU,2020-10-12 19:27:06,-28.77,114.6,62.6,88,0,6.93
