City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Saint-Philippe,RE,-21.36,55.77,75.2,83,90,1.12,overcast clouds
84,Hasaki,JP,35.73,140.83,63.0,88,75,11.41,broken clouds
85,Saskylakh,RU,71.92,114.08,15.6,95,100,15.95,overcast clouds
86,Vaini,TO,-21.2,-175.2,73.4,73,90,9.17,overcast clouds
87,Fortuna,US,40.6,-124.16,63.0,82,75,12.75,broken clouds
88,Avarua,CK,-21.21,-159.78,73.4,60,100,5.82,overcast clouds
89,Norman Wells,CA,65.28,-126.83,21.2,79,90,11.41,light snow
90,Maraba,BR,-5.37,-49.12,95.0,50,40,2.24,scattered clouds
91,Airai,TL,-8.93,125.41,61.0,65,88,2.24,overcast clouds
92,Atherton,GB,53.52,-2.49,51.01,74,100,1.99,overcast clouds
93,Arraial Do Cabo,BR,-22.97,-42.03,78.8,74,47,8.05,scattered clouds
94,Slantsy,RU,59.12,28.09,44.01,87,100,8.84,overcast clouds
95,Banda Aceh,ID,5.56,95.32,81.52,69,100,8.97,overcast clouds
96,Tiksi,RU,71.69,128.87,10.67,92,0,2.46,clear sky
97,Punta Arenas,CL,-53.15,-70.92,51.8,50,75,25.28,broken clouds
98,Petropavl,KZ,54.88,69.16,48.43,52,100,13.62,overcast clouds
99,Nagato,JP,34.38,131.2,64.4,63,20,6.93,few clouds
100,Virginia Beach,US,36.85,-75.98,73.99,38,20,5.82,few clouds
101,Ulladulla,AU,-35.35,150.47,53.01,100,23,2.24,few clouds
102,Quatre Cocos,MU,-20.21,57.76,73.99,83,20,5.82,few clouds
103,Leshukonskoye,RU,64.9,45.76,31.15,95,5,4.32,clear sky
104,Darhan,MN,49.49,105.92,31.55,83,5,4.25,clear sky
105,Port Elizabeth,ZA,-33.92,25.57,60.8,87,0,12.75,clear sky
106,Lata,PT,40.16,-8.33,57.0,82,0,5.01,clear sky
107,Saint-Pierre,RE,-21.34,55.48,75.2,83,90,1.12,overcast clouds
108,Akyab,MM,20.15,92.9,80.4,83,87,5.28,overcast clouds
109,Longyearbyen,SJ,78.22,15.64,28.4,79,40,3.36,scattered clouds
110,Nioro,GM,13.35,-15.75,81.97,70,5,1.77,clear sky
111,Jumla,NP,29.27,82.18,50.11,53,52,3.98,broken clouds
112,Worland,US,44.02,-107.96,61.0,12,1,28.86,clear sky
113,Taoudenni,ML,22.68,-3.98,93.79,16,0,4.5,clear sky
114,Altamira,BR,-3.2,-52.21,81.73,67,100,3.11,light rain
115,Klaksvik,FO,62.23,-6.59,44.6,81,42,1.12,scattered clouds
116,Dikson,RU,73.51,80.55,29.1,93,100,23.04,overcast clouds
117,Nikolskoye,RU,59.7,30.79,45.0,75,90,15.66,overcast clouds
118,Tkibuli,GE,42.35,43.0,59.0,82,100,2.24,overcast clouds
119,Asau,RO,46.43,26.4,41.0,97,9,4.34,clear sky
120,Mokhsogollokh,RU,61.47,128.92,17.85,96,100,8.63,light snow
121,Lompoc,US,34.64,-120.46,96.8,18,1,14.99,clear sky
122,Lower Hutt,NZ,-41.22,174.92,48.2,66,97,32.21,light rain
123,Orumiyeh,IR,37.55,45.08,48.2,40,59,4.7,broken clouds
124,East London,ZA,-33.02,27.91,62.64,71,15,16.67,few clouds
125,Kitimat,CA,54.05,-128.65,50.0,82,77,1.99,light rain
126,Prado,BR,-17.34,-39.22,76.59,78,62,13.67,broken clouds
127,Port Lincoln,AU,-34.73,135.87,74.41,28,100,21.05,light rain
128,Yeppoon,AU,-23.13,150.73,62.6,72,61,6.93,broken clouds
129,Chuy,UY,-33.7,-53.46,63.16,77,3,7.52,clear sky
130,Souillac,MU,-20.52,57.52,73.4,83,20,5.82,few clouds
131,Clyde River,CA,70.47,-68.59,24.8,92,75,11.74,broken clouds
132,Kovdor,RU,67.57,30.48,33.85,95,100,9.28,overcast clouds
